in:Windows,in:Roof,in:Walls,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
HR++,l_r_insulation,cavity_w_insulation,True,True,49.690922,1.293541,55.64833,132.175557,330109.799909,0,511.784799,LT-ready,3,4244.621771,Almost LT-ready,3,6514.346691,Almost LT-ready,WindowsHR++_Roofl_r_insulation_Wallscavity_w_insulation.png
triple_glas,l_r_insulation,cavity_w_insulation,True,True,47.184634,1.305325,55.660114,129.681052,320560.891394,0,464.080089,LT-ready,3,4144.099844,Almost LT-ready,3,6360.2408,Almost LT-ready,Windowstriple_glas_Roofl_r_insulation_Wallscavity_w_insulation.png
double_glas,m_r_insulation,cavity_w_insulation,False,True,52.566917,1.189641,55.54443,134.947651,341005.090427,0,637.833902,LT-ready,3,4202.155771,Almost LT-ready,3,5937.674223,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallscavity_w_insulation.png
acht_w_foil,m_r_insulation,cavity_w_insulation,True,True,47.048632,1.208644,55.563433,129.44837,319975.755609,0,536.726411,LT-ready,3,3948.397009,Almost LT-ready,2,5592.735752,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallscavity_w_insulation.png
HR++,m_r_insulation,cavity_w_insulation,True,True,42.994488,1.218823,55.573612,125.404405,304523.434795,0,458.123129,LT-ready,3,3771.082296,Almost LT-ready,1,5328.51644,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallscavity_w_insulation.png
triple_glas,m_r_insulation,cavity_w_insulation,True,True,40.495612,1.231636,55.586424,122.918341,295003.496419,0,409.657791,LT-ready,3,3667.462461,Almost LT-ready,1,5166.897024,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallscavity_w_insulation.png
double_glas,h_r_insulation,cavity_w_insulation,True,True,49.533217,1.156512,55.511301,131.880823,329414.140301,0,612.33415,LT-ready,3,3995.018924,Almost LT-ready,1,5406.814729,Almost LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallscavity_w_insulation.png
acht_w_foil,h_r_insulation,cavity_w_insulation,True,True,44.02294,1.176455,55.531244,126.390489,308415.987065,0,510.263457,LT-ready,3,3737.995962,Almost LT-ready,1,5054.717273,Almost LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallscavity_w_insulation.png
HR++,h_r_insulation,cavity_w_insulation,True,True,39.937758,1.185027,55.539815,122.313878,292844.204119,0,430.898613,LT-ready,2,3555.358224,Almost LT-ready,0,4784.772911,LT-ready,WindowsHR++_Roofh_r_insulation_Wallscavity_w_insulation.png
triple_glas,h_r_insulation,cavity_w_insulation,True,True,37.429299,1.200337,55.555126,119.82073,283289.444779,0,381.973479,LT-ready,2,3450.040324,Almost LT-ready,0,4619.510861,LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallscavity_w_insulation.png
