in:Walls,in:Roof,in:Windows,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
l_insulation,non_insulated_r,monumental_glas,False,False,91.898308,1.711152,56.065941,174.800553,491343.062295,0,890.394254,LT-ready,5,7116.381927,Not LT-ready,3,13245.328034,Not LT-ready,Wallsl_insulation_Roofnon_insulated_r_Windowsmonumental_glas.png
m_insulation,non_insulated_r,monumental_glas,False,False,88.823549,1.690314,56.045103,171.704957,479604.003324,0,852.479356,LT-ready,5,6943.219497,Not LT-ready,3,13216.065537,Not LT-ready,Wallsm_insulation_Roofnon_insulated_r_Windowsmonumental_glas.png
h_insulation,non_insulated_r,monumental_glas,False,False,87.203164,1.678411,56.0332,170.07267,473416.936387,0,832.391509,LT-ready,5,6851.556334,Not LT-ready,3,13200.596841,Not LT-ready,Wallsh_insulation_Roofnon_insulated_r_Windowsmonumental_glas.png
non_insulated_w,l_r_insulation,monumental_glas,False,False,103.933144,1.533974,55.888763,186.658212,537112.567713,4,1260.939259,Almost LT-ready,14,7201.235577,Not LT-ready,3,7606.859122,Not LT-ready,Wallsnon_insulated_w_Roofl_r_insulation_Windowsmonumental_glas.png
cavity_w_insulation,l_r_insulation,monumental_glas,False,True,59.077136,1.261786,55.616575,141.530016,365879.609912,0,688.733243,LT-ready,5,4657.232037,Almost LT-ready,3,7097.145538,Almost LT-ready,Wallscavity_w_insulation_Roofl_r_insulation_Windowsmonumental_glas.png
l_insulation,l_r_insulation,monumental_glas,False,True,57.467524,1.258898,55.613687,139.917516,359739.824024,0,668.814973,LT-ready,5,4563.251002,Almost LT-ready,3,7078.144956,Almost LT-ready,Wallsl_insulation_Roofl_r_insulation_Windowsmonumental_glas.png
m_insulation,l_r_insulation,monumental_glas,False,True,54.279714,1.240654,55.595443,136.711462,347571.463366,0,628.924498,LT-ready,4,4375.655372,Almost LT-ready,3,7040.058922,Almost LT-ready,Wallsm_insulation_Roofl_r_insulation_Windowsmonumental_glas.png
h_insulation,l_r_insulation,monumental_glas,False,True,52.619409,1.231691,55.58648,135.042193,341234.190361,0,607.729798,LT-ready,4,4276.378227,Almost LT-ready,3,7019.800941,Almost LT-ready,Wallsh_insulation_Roofl_r_insulation_Windowsmonumental_glas.png
non_insulated_w,m_r_insulation,monumental_glas,False,False,97.685792,1.453724,55.808513,180.33061,513234.837534,4,1239.0336,Almost LT-ready,12,5923.994672,Not LT-ready,3,6473.498659,Almost LT-ready,Wallsnon_insulated_w_Roofm_r_insulation_Windowsmonumental_glas.png
cavity_w_insulation,m_r_insulation,monumental_glas,False,True,52.566917,1.189641,55.54443,134.947651,341005.090427,0,637.833902,LT-ready,3,4202.155771,Almost LT-ready,3,5937.674223,Almost LT-ready,Wallscavity_w_insulation_Roofm_r_insulation_Windowsmonumental_glas.png
