in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,h_insulation,h_r_insulation,No gap_s + vA,False,False,136.021373,3.418412,47.925196,220.882951,50500.893814,902.471302,LT-ready,2709.979251,Almost LT-ready,2.579909,False,5.650685,False,Windowsdouble_glas_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,h_r_insulation,No gap_s + vA,False,False,117.902754,3.512113,48.018896,202.858032,45467.199473,794.681997,LT-ready,2521.463613,Almost LT-ready,0.878995,True,6.940639,False,Windowsacht_w_foil_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,h_insulation,h_r_insulation,No gap_s + vA,False,False,104.041302,3.544769,48.051553,189.029237,41614.267938,707.691152,LT-ready,2374.211982,LT-ready,0.114155,True,8.253425,False,WindowsHR++_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,h_insulation,h_r_insulation,No gap_s + vA,False,False,95.794248,3.613022,48.119805,180.850435,39324.365516,652.678765,LT-ready,2282.576984,LT-ready,0,True,9.760274,False,Windowstriple_glas_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,l_insulation,m_r_insulation,min gap_s + vC1,False,False,143.380015,3.650835,48.157619,228.474016,52558.837123,835.561195,LT-ready,2537.08751,Almost LT-ready,2.876712,False,6.803653,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,l_insulation,m_r_insulation,min gap_s + vC1,False,False,125.923079,3.745045,48.251828,211.111289,47709.168076,730.146381,LT-ready,2355.742246,LT-ready,1.050228,True,7.990868,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
HR++,l_insulation,m_r_insulation,min gap_s + vC1,False,False,112.519789,3.780786,48.287569,197.74374,43983.796265,645.257887,LT-ready,2214.412963,LT-ready,0.262557,True,9.292237,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,l_insulation,m_r_insulation,min gap_s + vC1,False,False,104.189977,3.833295,48.340078,189.466437,41670.090583,591.710154,LT-ready,2126.694729,LT-ready,0,True,10.787671,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,m_insulation,m_r_insulation,min gap_s + vC1,False,False,141.231327,3.624851,48.131635,226.299344,51960.029421,816.026579,LT-ready,2524.088453,Almost LT-ready,1.917808,False,6.803653,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,m_insulation,m_r_insulation,min gap_s + vC1,False,False,123.590804,3.709601,48.216385,208.743571,47058.834104,710.167334,LT-ready,2342.321925,LT-ready,0.53653,True,8.184932,False,Windowsacht_w_foil_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
