BAG_pand_i	BAG_pand_b	Q_c_kWh 	Elec_kWh	Pec_4_cooling	COP	Q_v_kWh	Delta_T	H	Volume_m3	ACH_hr	Q_all_kWh	Q_all_GJ	BAG_pand_o	Meest_voor	Hoofdfun_1	Gebruiksop	LNG	LAT
3.631E+14	1864	10831.18812	12742.57426	0.17	4	33358.79136	10.6987785	3.050880626	381.3600783	3	44189.97947	159.0839261	125	D	K	50	4.889274	52.361043
3.631E+14	1005	6170.561705	10284.26951	0.12	4	14067.59813	8.698778498	3.3525	197.7975	3	20238.15983	72.8573754	59	A	D	59	4.929727	52.37013
3.631E+14	1698	8884.2	11845.6	0.15	4	33525.59952	9.698778498	3.048923679	158.5440313	8	42409.79952	152.6752783	52	C	H	52	4.887471	52.377725
3.631E+14	1791	6275.147496	10458.57916	0.12	4	14306.03199	8.698778498	3.3525	201.15	3	20581.17949	74.09224617	60	A	D	23	4.900106	52.375944
3.631E+14	1745	7007.248038	11678.74673	0.12	4	15975.06906	8.698778498	3.3525	224.6175	3	22982.3171	82.73634155	67	A	D	28	4.900066	52.374209
3.631E+14	1673	7425.591204	12375.98534	0.12	4	16928.80453	8.698778498	3.3525	238.0275	3	24354.39573	87.67582463	71	A	D	71	4.88955	52.377006
3.631E+14	1987	7425.591204	12375.98534	0.12	4	16928.80453	8.698778498	3.3525	238.0275	3	24354.39573	87.67582463	71	A	D	71	4.918598	52.370051
3.631E+14	1738	7243.308271	9657.744361	0.15	4	42481.80088	11.6987785	2.9875	666.2125	2	49725.10915	179.0103929	223	A	L	223	4.891979	52.376504
3.631E+14	1788	5505.493966	7340.658621	0.15	4	13539.18442	9.698778498	3.048923679	64.02739726	8	19044.67839	68.56084219	21	G	H	21	4.890687	52.371133
3.631E+14	1731	7634.762787	12724.60465	0.12	4	17405.67226	8.698778498	3.3525	244.7325	3	25040.43505	90.14556617	73	A	D	22	4.884146	52.37044
3.631E+14	1683	7665.56391	10220.75188	0.15	4	44958.31842	11.6987785	2.9875	705.05	2	52623.88233	189.4459764	236	A	L	0	4.899236	52.374943
3.631E+14	1986	7843.93437	13073.22395	0.12	4	17882.53999	8.698778498	3.3525	251.4375	3	25726.47436	92.61530771	75	A	D	75	4.898399	52.368253
3.631E+14	1802	11011.93985	14682.58647	0.15	4	36385.7577	11.6987785	2.9875	570.6125	2	47397.69755	170.6317112	191	F	L	191	4.891409	52.374857
3.631E+14	1905	8366.863328	13944.77221	0.12	4	19074.70933	8.698778498	3.3525	268.2	3	27441.57265	98.78966156	80	A	D	40	4.888379	52.381908
3.631E+14	1699	9412.721244	15687.86874	0.12	4	21459.04799	8.698778498	3.3525	301.725	3	30871.76924	111.1383692	90	A	D	90	4.892431	52.363527
3.631E+14	1928	9831.064411	16385.10735	0.12	4	22412.78346	8.698778498	3.3525	315.135	3	32243.84787	116.0778523	94	A	D	43	4.884017	52.380559
3.631E+14	1935	11295.26549	18825.44249	0.12	4	25750.85759	8.698778498	3.3525	362.07	3	37046.12308	133.3660431	108	A	D	31	4.88857	52.363565
3.631E+14	1905	11399.85128	18999.75214	0.12	4	25989.29146	8.698778498	3.3525	365.4225	3	37389.14274	134.6009139	109	A	D	109	4.888497	52.381846
3.631E+14	2010	11504.43708	19174.06179	0.12	4	26227.72532	8.698778498	3.3525	368.775	3	37732.1624	135.8357846	110	A++	D	110	4.881879	52.373531
3.631E+14	1886	10486.65517	13982.2069	0.15	4	25788.92271	9.698778498	3.048923679	121.9569472	8	36275.57788	130.5920804	40	G	H	40	4.892723	52.374233
3.631E+14	1888	45942.10133	13051.73333	0.88	3	23366.51892	8.698778498	3.3525	328.545	3	69308.62026	249.5110329	337	A	U	98	4.878904	52.369213
3.631E+14	1700	5175.863762	6089.251485	0.17	4	22417.10779	10.6987785	3.050880626	256.2739726	3	27592.97155	99.33469759	84	A+	K	84	4.88205	52.37532
3.631E+14	1639	11922.78024	19871.3004	0.12	4	27181.46079	8.698778498	3.3525	382.185	3	39104.24103	140.7752677	114	A	D	24	4.887401	52.372197
3.631E+14	2017	12027.36603	20045.61006	0.12	4	27419.89466	8.698778498	3.3525	385.5375	3	39447.26069	142.0101385	115	A	D	28	4.878528	52.37251
3.631E+14	1937	7906.231034	10541.64138	0.15	4	39328.10713	9.698778498	3.048923679	185.9843444	8	47234.33816	170.0436174	61	A	H	30	4.90011	52.374254
3.631E+14	1846	12027.36603	20045.61006	0.12	4	27419.89466	8.698778498	3.3525	385.5375	3	39447.26069	142.0101385	115	A	D	29	4.881727	52.374007
3.631E+14	1967	1842425.633	523416.373	0.88	3	295896.4284	8.698778498	3.3525	4160.4525	3	2138322.061	7697.959421	3700	G	U	1241	4.888822	52.38164
3.631E+14	1638	9704.744554	11417.34653	0.17	4	33625.66169	10.6987785	3.050880626	384.4109589	3	43330.40624	155.9894625	126	C	K	58	4.891867	52.378606
