in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
triple_glas,h_insulation,non_insulated_r,No gap_s + vA,False,False,156.057099,4.649555,49.156339,242.14982,56134.180123,754.660612,LT-ready,4583.224081,Not LT-ready,0.479452,True,8.378995,False,Windowstriple_glas_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,217.84785,4.655219,49.162002,303.946234,73317.137488,1478.924728,Almost LT-ready,3870.390345,Not LT-ready,49.189498,False,5.993151,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,201.603946,4.739038,49.245822,287.78615,68804.265077,1383.8718,LT-ready,3702.849742,Not LT-ready,46.381279,False,6.426941,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,189.456221,4.769784,49.276567,275.66917,65427.788052,1307.629877,LT-ready,3573.147607,Almost LT-ready,44.006849,False,6.712329,False,WindowsHR++_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,181.113267,4.825238,49.332022,267.381671,63110.575707,1259.719107,LT-ready,3493.20886,Almost LT-ready,42.305936,False,6.96347,False,Windowstriple_glas_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,171.121453,3.958326,48.46511,256.522945,60288.562945,1061.333488,LT-ready,3599.928258,Almost LT-ready,12.705479,False,5.388128,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,153.710099,4.047977,48.55476,239.201241,55451.340478,958.052781,LT-ready,3426.183023,Almost LT-ready,8.744292,False,6.255708,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,140.60205,4.077064,48.583848,226.12228,51807.734937,874.987163,LT-ready,3291.097729,Almost LT-ready,5.936073,False,6.894977,False,WindowsHR++_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,132.348959,4.143265,48.650048,217.935389,49516.050778,822.660328,LT-ready,3207.47281,Almost LT-ready,4.577626,False,7.728311,False,Windowstriple_glas_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,l_insulation,l_r_insulation,No gap_s + vA,False,False,168.233487,3.921402,48.428185,253.598054,59483.628936,1035.98947,LT-ready,3583.657191,Almost LT-ready,10.33105,False,5.342466,False,Windowsdouble_glas_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
