in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,h_insulation,h_r_insulation,No gap_s + vA,False,False,93.8454,3.305446,47.812229,178.594011,38766.997588,595.666735,LT-ready,2670.343497,Almost LT-ready,0,True,31.118721,False,Windowsdouble_glas_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,h_r_insulation,No gap_s + vA,False,True,78.531578,3.413876,47.92066,163.38862,34513.99597,486.265715,LT-ready,2481.56318,Almost LT-ready,0,True,44.657534,False,Windowsacht_w_foil_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,h_insulation,h_r_insulation,No gap_s + vA,False,True,66.971495,3.443541,47.950324,151.858201,31300.875243,397.916612,LT-ready,2333.538969,LT-ready,0,True,58.002283,False,WindowsHR++_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,h_insulation,h_r_insulation,No gap_s + vA,False,True,59.809676,3.510345,48.017128,144.763186,29312.680566,341.989434,LT-ready,2240.622126,LT-ready,0,True,69.657534,False,Windowstriple_glas_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,l_insulation,m_r_insulation,min gap_s + vC1,False,False,104.392559,3.481416,47.9882,189.317141,41708.765616,554.020356,LT-ready,2493.785079,Almost LT-ready,0,True,25.182648,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,l_insulation,m_r_insulation,min gap_s + vC1,False,False,88.989971,3.581821,48.088604,174.014957,37430.677263,446.067037,LT-ready,2311.833471,LT-ready,0,True,35.913242,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
HR++,l_insulation,m_r_insulation,min gap_s + vC1,False,True,77.272224,3.625244,48.132028,162.340634,34174.404116,359.058146,LT-ready,2169.553794,LT-ready,0,True,47.614155,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,l_insulation,m_r_insulation,min gap_s + vC1,False,True,69.91803,3.696714,48.203498,155.05791,32132.948266,304.086055,LT-ready,2080.720464,LT-ready,0,True,56.289954,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,m_insulation,m_r_insulation,min gap_s + vC1,False,False,103.594813,3.469745,47.976528,188.507723,41486.343937,547.137125,LT-ready,2483.17203,Almost LT-ready,0,True,25.593607,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,m_insulation,m_r_insulation,min gap_s + vC1,False,False,88.1528,3.570071,48.076854,173.166036,37197.288429,439.055252,LT-ready,2300.957741,LT-ready,0,True,36.449772,False,Windowsacht_w_foil_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
HR++,m_insulation,m_r_insulation,min gap_s + vC1,False,True,76.431889,3.615765,48.122549,161.49082,33940.249409,351.931077,LT-ready,2158.413495,LT-ready,0,True,48.481735,False,WindowsHR++_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,m_insulation,m_r_insulation,min gap_s + vC1,False,True,69.084218,3.688172,48.194956,154.215556,31900.654487,343.035753,LT-ready,2069.361031,LT-ready,0,True,57.226027,False,Windowstriple_glas_Wallsm_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,h_insulation,m_r_insulation,min gap_s + vC1,False,False,101.302333,3.439382,47.946165,186.18488,40847.33103,527.672908,LT-ready,2453.176424,LT-ready,0,True,26.940639,False,Windowsdouble_glas_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,h_insulation,m_r_insulation,min gap_s + vC1,False,False,85.915185,3.537307,48.04409,170.895657,36573.411801,419.220258,LT-ready,2270.1858,LT-ready,0,True,37.842466,False,Windowsacht_w_foil_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
HR++,h_insulation,m_r_insulation,min gap_s + vC1,False,True,74.119209,3.583398,48.090181,159.145772,33295.5187,331.763977,LT-ready,2126.84166,LT-ready,0,True,50.650685,False,WindowsHR++_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,h_insulation,m_r_insulation,min gap_s + vC1,False,True,66.8783,3.656575,48.163359,151.978041,31285.650675,276.48743,LT-ready,2037.082344,LT-ready,0,True,60.719178,False,Windowstriple_glas_Wallsh_insulation_Roofm_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,l_insulation,h_r_insulation,min gap_s + vC1,False,False,95.060278,3.328188,47.834972,179.831632,39105.970253,540.195605,LT-ready,2126.545454,LT-ready,0,True,25.719178,False,Windowsdouble_glas_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,l_insulation,h_r_insulation,min gap_s + vC1,False,True,79.513391,3.426812,47.933596,164.383369,34787.666138,431.350193,LT-ready,1938.876777,LT-ready,0,True,36.621005,False,Windowsacht_w_foil_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
HR++,l_insulation,h_r_insulation,min gap_s + vC1,False,True,67.59734,3.476178,47.982961,152.516683,31476.547075,343.499926,LT-ready,1792.003137,LT-ready,0,True,48.767123,False,WindowsHR++_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
triple_glas,l_insulation,h_r_insulation,min gap_s + vC1,False,True,60.399641,3.536618,48.043402,145.379425,29478.055624,287.915511,LT-ready,1700.173889,LT-ready,0,True,57.922374,False,Windowstriple_glas_Wallsl_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
double_glas,m_insulation,h_r_insulation,min gap_s + vC1,False,False,94.277762,3.315707,47.822491,179.036635,38887.743109,533.249631,LT-ready,2115.542349,LT-ready,0,True,26.073059,False,Windowsdouble_glas_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
acht_w_foil,m_insulation,h_r_insulation,min gap_s + vC1,False,True,78.662654,3.410663,47.917446,163.516482,34550.284082,424.264851,LT-ready,1927.593717,LT-ready,0,True,37.111872,False,Windowsacht_w_foil_Wallsm_insulation_Roofh_r_insulation_Infiltrationmingap_s+vC1.png
