in:Windows,in:Roof,in:Walls,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
double_glas,l_r_insulation,non_insulated_w,False,True,62.201047,1.280183,55.634972,144.672324,377804.418722,0,727.322041,LT-ready,5,4839.694676,Almost LT-ready,3,7133.963928,Almost LT-ready,Windowsdouble_glas_Roofl_r_insulation_Wallsnon_insulated_w.png
acht_w_foil,l_r_insulation,non_insulated_w,False,True,56.813332,1.302424,55.657213,139.30685,357275.20222,0,628.166815,LT-ready,3,4596.184324,Almost LT-ready,3,6804.396909,Almost LT-ready,Windowsacht_w_foil_Roofl_r_insulation_Wallsnon_insulated_w.png
HR++,l_r_insulation,non_insulated_w,False,True,52.776451,1.310173,55.664962,135.277717,341887.034337,0,551.184965,LT-ready,3,4434.338604,Almost LT-ready,3,6552.687094,Almost LT-ready,WindowsHR++_Roofl_r_insulation_Wallsnon_insulated_w.png
triple_glas,l_r_insulation,non_insulated_w,False,True,50.271847,1.324406,55.679195,132.787347,332346.234784,0,503.905952,LT-ready,3,4334.825259,Almost LT-ready,3,6399.434769,Almost LT-ready,Windowstriple_glas_Roofl_r_insulation_Wallsnon_insulated_w.png
double_glas,m_r_insulation,non_insulated_w,False,True,55.67903,1.205331,55.56012,138.075455,352883.048424,0,676.9769,LT-ready,3,4387.782864,Almost LT-ready,3,5976.653119,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsnon_insulated_w.png
acht_w_foil,m_r_insulation,non_insulated_w,False,True,50.230232,1.22595,55.580739,132.647276,332119.794403,0,576.373718,LT-ready,3,4136.497952,Almost LT-ready,2,5632.767908,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsnon_insulated_w.png
HR++,m_r_insulation,non_insulated_w,True,True,46.105934,1.231057,55.585846,128.528085,316396.467566,0,498.141648,LT-ready,3,3964.389837,Almost LT-ready,1,5369.457241,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsnon_insulated_w.png
triple_glas,m_r_insulation,non_insulated_w,True,True,43.617467,1.246186,55.600975,126.054748,306917.819454,0,450.040205,LT-ready,3,3861.743078,Almost LT-ready,1,5208.826075,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsnon_insulated_w.png
double_glas,h_r_insulation,non_insulated_w,False,True,50.046383,1.146061,55.50085,132.383537,331363.759569,0,627.621081,LT-ready,3,3998.499718,Almost LT-ready,1,4974.438727,Almost LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsnon_insulated_w.png
acht_w_foil,h_r_insulation,non_insulated_w,True,True,44.50224,1.161178,55.515967,126.854512,310233.149473,0,524.94195,LT-ready,2,3740.671673,Almost LT-ready,0,4617.104211,LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsnon_insulated_w.png
